Time,Charge
645.5,-3012.75446126611
646,-3036.36256250408
646.5,-3044.22175221764
647,-3044.22175221764
647.5,-3081.40859002548
648,-3074.57886544206
648.5,-3068.0624523822
649,-3061.55507696159
649.5,-3055.05816738031
650,-3048.57118991576
650.5,-3042.09365307503
651,-3035.62509275708
651.5,-3029.16507066008
652,-3022.71317271533
652.5,-3031.30539283513
653,-3037.84717779804
653.5,-3041.11080597955
654,-3041.11080597955
654.5,-3040.03115491975
655,-3038.95340319774
655.5,-3037.87635055617
656,-3036.79996532538
656.5,-3034.64846726665
657,-3032.5006636883
657.5,-3030.35417681641
658,-3028.20895102457
658.5,-3026.06492884002
659,-3023.92205574461
659.5,-3021.78028000038
660,-3019.63955249565
660.5,-3017.49982660039
661,-3015.36105803004
661.5,-3013.22320471754
662,-3011.08622669274
662.5,-3008.95008596898
663,-3006.81474643628
663.5,-3004.68017376065
664,-3002.54633528933
664.5,-3000.41319996139
665,-2998.28073822347
665.5,-2996.14892195034
666,-2994.01772436994
666.5,-2991.88711999266
667,-2989.75708454461
667.5,-2987.62759490459
668,-2985.49862904464
668.5,-2983.3701659738
669,-2981.24218568507
669.5,-2979.11466910523
670,-2973.79699146068
670.5,-2980.15503520598
671,-2944.75622677538
671.5,-2903.69815765463
672,-2826.33683805429
672.5,-2773.49486064202
673,-2688.65065111853
673.5,-2644.29833932572
674,-2626.32024619701
674.5,-2578.21247946001
675,-2557.36901456014
675.5,-2513.60430696244
676,-2492.72734969694
676.5,-2492.72734969694
677,-2521.75969971427
677.5,-2513.1983970182
678,-2493.59327118513
678.5,-2468.08041873089
679,-2441.71857457082
679.5,-2416.41398471842
680,-2398.19112731176
680.5,-2398.19112731176
681,-2398.19112731176
681.5,-2398.19112731176
682,-2398.19112731176
682.5,-2398.19112731176
683,-2398.19112731176
683.5,-2398.19112731176
684,-2398.19112731176
684.5,-2398.19112731176
685,-2398.19112731176
685.5,-2398.19112731176
686,-2398.19112731176
686.5,-2398.19112731176
687,-2398.19112731176
687.5,-2398.19112731176
688,-2398.19112731176
688.5,-2398.19112731176
689,-2398.19112731176
689.5,-2398.19112731176
690,-2398.19112731176
690.5,-2398.19112731176
691,-2398.19112731176
691.5,-2398.19112731176
692,-2398.19112731176
692.5,-2398.19112731176
693,-2398.19112731176
693.5,-2398.19112731176
694,-2398.19112731176
694.5,-2398.19112731176
695,-2398.19112731176
695.5,-2398.19112731176
696,-2398.19112731176
696.5,-2398.19112731176
697,-2398.19112731176
697.5,-2398.19112731176
698,-2398.19112731176
698.5,-2398.19112731176
699,-2398.19112731176
699.5,-2398.19112731176
700,-2398.19112731176
700.5,-2398.19112731176
701,-2398.19112731176
701.5,-2398.19112731176
702,-2398.19112731176
702.5,-2398.19112731176
703,-2398.19112731176
703.5,-2498.53763914405
704,-2518.67819786395
704.5,-2518.67819786395
705,-2549.56849249312
705.5,-2574.90567549386
706,-2591.36077658129
706.5,-2610.94360591847
707,-2630.61025601117
707.5,-2656.86162547371
708,-2673.4056087851
708.5,-2688.70299729418
709,-2706.17352094509
709.5,-2722.60087031041
710,-2720.41153491344
710.5,-2739.72923204091
711,-2755.10156572239
711.5,-2773.7020887564
712,-2791.28052299923
712.5,-2807.75388319508
713,-2824.21769279022
713.5,-2837.39581131123
714,-2849.43817697311
714.5,-2862.56239190704
715,-2875.7047967661
715.5,-2852.69903926873
716,-2852.69903926873
716.5,-2918.42592135532
717,-2971.7869218159
717.5,-3011.9742138782
718,-3043.74131323879
718.5,-3075.27205015547
719,-3106.8385820466
719.5,-3139.57755126394
720,-3169.00681779444
720.5,-3197.23615580204
721,-3226.58557869213
721.5,-3255.99924676076
722,-3285.44383475353
722.5,-3313.78390499229
723,-3339.84836367816
723.5,-3364.73592629463
724,-3388.4753993975
724.5,-3409.93720824072
725,-3429.09875659375
725.5,-3447.09092276569
726,-3465.06052233515
726.5,-3483.02904851433
727,-3502.12007890265
727.5,-3521.23465814431
728,-3535.85321683677
728.5,-3536.97221414395
729,-3536.97221414395
729.5,-3578.75240595213
730,-3581.05302672073
730.5,-3577.74405480188
731,-3576.64901794377
731.5,-3576.64901794377
732,-3581.03262094966
732.5,-3586.53202994128
733,-3593.13442836366
733.5,-3600.84169804564
734,-3608.55436252493
734.5,-3617.36541834249
735,-3626.18376047104
735.5,-3634.99981780362
736,-3643.81363992176
736.5,-3652.62535560609
737,-3661.43508816252
737.5,-3670.24295498923
738,-3679.04906787596
738.5,-3687.85353329277
739,-3696.65645266272
739.5,-3705.45792261947
740,-3708.75796485611
740.5,-3691.26543243775
741,-3668.82621391989
741.5,-3607.30483297623
742,-3550.38742831555
742.5,-3495.51372223391
743,-3442.79131580257
743.5,-3392.18820967975
744,-3342.67206122297
744.5,-3294.27447774353
745,-3246.9783742129
745.5,-3200.77025859862
746,-3150.62300481869
746.5,-3150.62300481869
747,-3103.59242585867
